Country,Country Code,Series,Series Code,2022M10 [2022M10],2022M11 [2022M11],2022M12 [2022M12],2022Q1 [2022Q1],2022Q2 [2022Q2],2022Q3 [2022Q3],2022Q4 [2022Q4],2023 [2023],2023M01 [2023M01],2023M02 [2023M02],2023M03 [2023M03],2023M04 [2023M04],2023M05 [2023M05],2023M06 [2023M06],2023M07 [2023M07],2023M08 [2023M08],2023M09 [2023M09],2023M10 [2023M10],2023M11 [2023M11],2023M12 [2023M12],2023Q1 [2023Q1],2023Q2 [2023Q2],2023Q3 [2023Q3],2023Q4 [2023Q4],2024 [2024],2024M01 [2024M01],2024M02 [2024M02],2024M03 [2024M03],2024M04 [2024M04],2024M05 [2024M05],2024M06 [2024M06],2024M07 [2024M07],2024M08 [2024M08],2024M09 [2024M09],2024M10 [2024M10],2024M11 [2024M11],2024M12 [2024M12],2024Q1 [2024Q1],2024Q2 [2024Q2],2024Q3 [2024Q3],2024Q4 [2024Q4],2025 [2025],2025M01 [2025M01],2025M02 [2025M02],2025M03 [2025M03],2025M04 [2025M04],2025M05 [2025M05],2025M06 [2025M06],2025Q1 [2025Q1],2025Q2 [2025Q2]
United Kingdom,GBR,"Stock Markets, LCU,,,",DSTKMKTXN,137.53738673133,146.0262736597,147.6727399321,..,..,..,..,150.03136849302,153.18267568982,156.42581545201,150.56054763834,153.69037195938,151.76887446495,148.87111878951,148.0642700394,146.81782961224,148.82756943187,145.92989947243,146.22079579228,150.01665357401,..,..,..,..,159.37712339429,150.08522332591,150.64129803808,153.32222993643,156.98635435655,163.93889465153,161.90046218386,162.36578718523,163.09594976873,163.23564338204,163.2488559141,161.06491233925,162.63986964981,..,..,..,..,168.05312580487,165.17634037353,170.60203138327,168.92177048398,160.8202386056,169.68366158451,173.11471239835,..,..
United Kingdom,GBR,"Stock Markets, US$,,,",DSTKMKTXD,96.11222245572,106.13274240476,111.33991159955,..,..,..,..,115.43619724197,115.99369757114,116.97599791761,113.11395581146,118.24328750596,117.1819670088,116.22983912219,118.08993668006,115.52558707052,114.17883712266,109.93613407144,112.38683206091,117.37829496088,..,..,..,..,126.07648778432,118.0264542276,117.70820432166,120.70314904991,121.55580166816,128.13152807205,127.37684282724,129.21750755729,130.45361399409,133.41180305595,131.90893921286,127.08526568855,127.33874373644,..,..,..,..,134.85655475533,126.16047749245,132.31701008184,134.88649409765,130.6660483373,140.19258871846,144.91670980429,..,..
United Kingdom,GBR,"Total Reserves,,,,",TOTRESV,148417.108171141,156269.31296903,158900.765037034,..,..,..,..,157908.199783314,157744.612183358,151431.937313889,154188.839995357,156297.413906446,152282.994275624,154759.891187841,159364.430504395,158042.682840946,152248.871708762,151951.804656081,155116.170930077,157908.199783314,..,..,..,..,149104.57753292,154364.470854205,153368.894785761,154237.013030926,148511.447032466,152308.084398316,150004.811135132,153419.075031146,155893.964733548,155072.012314138,151532.29780466,151583.481654953,149104.57753292,..,..,..,..,..,149175.833481367,150579.876747247,153458.215622547,159534.039733797,160930.054160415,..,..,..
United Kingdom,GBR,"Core CPI,not seas.adj,,,",CORENS,138.27343039127,138.81938125569,139.61555959964,..,..,..,..,144.57935244161,138.83075523203,140.53685168335,141.75386715196,143.77843494086,144.92720655141,145.25705186533,145.67788898999,146.07597816197,146.69017288444,147.05414012739,146.71292083713,147.65696087352,..,..,..,..,150.13553988474,146.50818926297,147.37261146497,148.25978161965,149.51091901729,150.0796178344,150.42083712466,150.56869881711,151.21701546861,151.31938125569,151.89945404914,152.0245677889,152.44540491356,..,..,..,..,153.42641037307,152.08143767061,152.77525022748,153.44631483167,155.40263876251,..,..,..,..
United Kingdom,GBR,"Core CPI,seas.adj,,,",CORESA,137.20298710115,137.97239194388,138.7983706721,..,..,..,..,143.81741721355,139.27359131025,140.57479067662,141.38945462774,142.74722787961,143.68635437882,144.13894546277,144.73862864902,144.97623896809,145.62118126273,145.9379950215,145.881421136,146.84317718941,..,..,..,..,149.34940031681,147.10341706268,147.49943426115,147.9293957909,148.35935732066,148.73274496492,149.17402127178,149.52477936185,150.0339443313,150.23761031908,150.74677528853,151.22199592668,151.62932790224,..,..,..,..,153.25016972166,152.76080561213,152.93052726861,153.12287847929,154.18646752659,..,..,..,..
United Kingdom,GBR,"CPI Price, % y-o-y, median weighted, seas. adj.,",CPTOTSAXMZGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,GBR,"CPI Price, % y-o-y, not seas. adj.,,",CPTOTSAXNZGY,9.58668197474,9.35266310592,9.26113272052,..,..,..,..,6.7947241161,8.89671687374,9.18793463443,8.84753593429,7.79585063639,7.835639413,7.26691688651,6.37176027923,6.30406387855,6.38071721747,4.74432848451,4.23547339295,4.20734189542,..,..,..,..,3.27986945303,4.25862481077,3.85773324589,3.64641057687,3.09364548495,2.76451467409,2.78680766217,3.0865777695,3.07020594258,2.66927984014,3.17299110578,3.52707631227,3.46605184141,..,..,..,..,2.71820228327,3.87910282374,3.65509423052,3.49158198089,4.02634710568,..,..,..,..
United Kingdom,GBR,"CPI Price, seas. adj.,,,",CPTOTSAXN,139.13838149382,139.81117054081,140.47947432749,..,..,..,..,144.24400937419,140.73625548043,141.90354447696,142.65482557944,143.49693320326,144.19439118198,144.5296643904,144.55209069196,145.1037777105,145.89430484072,145.73956335991,145.73283546944,146.38992610534,..,..,..,..,148.97502457549,146.72968457407,147.37780468934,147.85660622778,147.93621959835,148.18066628542,148.55742815174,149.01380338861,149.55876251668,149.78863210774,150.36386674292,150.87294378848,151.46387683475,..,..,..,..,153.02446709501,152.42147991164,152.76460232561,153.01914084839,153.8926452944,..,..,..,..
United Kingdom,GBR,"CPI Price,not seas.adj,,,",CPTOTNSXN,143.688800838,144.25240242292,144.78753928132,..,..,..,..,148.64280183996,143.97117092499,145.61643211732,146.72997221843,148.50503256365,149.50585234777,149.69371954274,149.04700095642,149.54911873207,150.29034021041,150.29831033383,149.93737760168,150.56929453022,..,..,..,..,152.40375127143,149.70282825523,150.584096188,151.46650270984,151.96975907456,152.48098556269,152.6506353327,152.37737395819,152.863551487,152.81573074646,153.72660199481,153.86892562736,154.33802432026,..,..,..,..,155.43733205811,154.16837455026,154.8549437537,155.39577355741,157.33023637109,..,..,..,..
United Kingdom,GBR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.88587665595,0.85200054109,0.82141512409,..,..,..,..,0.80450860162,0.81782375738,0.8275358697,0.82358998327,0.80445097771,0.80138690217,0.79265046851,0.77596475115,0.78674274911,0.80664977642,0.82147125233,0.80528788091,0.79054885077,..,..,..,..,0.78263737885,0.78684161578,0.79195104864,0.78633905592,0.79888767359,0.7917203401,0.78654441412,0.77761265327,0.77326954393,0.75720882777,0.76588486997,0.78433991171,0.79104859138,..,..,..,..,0.77190911654,0.80975803713,0.79792860026,0.77496245489,0.76108922211,0.74891296751,0.73880341736,..,..
